time,IN_A,IN_B,OUT_1,OUT_2
3.07e-09,0,0,0,0
3.0799999999999997e-09,0,0,0,0
3.09e-09,0,0,0,0
3.0999999999999996e-09,0,0,0,0
3.11e-09,0,0,0,0
3.12e-09,0,0,0,0
3.1299999999999997e-09,0,0,0,0
3.14e-09,0,0,0,0
3.1499999999999997e-09,0,0,0,0
3.16e-09,0,0,0,0
3.17e-09,0,0,0,0
3.1799999999999998e-09,0,0,0,0
3.19e-09,0,0,0,0
3.1999999999999997e-09,0,0,0,0
3.21e-09,0,0,0,0
3.2199999999999996e-09,0,0,0,0
3.23e-09,0,0,0,0
3.24e-09,0,0,0,0
3.2499999999999997e-09,0,0,0,0
3.26e-09,0,0,0,0
3.2699999999999997e-09,0,0,0,0
3.28e-09,0,0,0,0
3.2899999999999996e-09,0,0,0,0
3.2999999999999998e-09,0,0,0,0
3.31e-09,0,0,0,0
3.3199999999999997e-09,0,0,0,0
3.33e-09,0,0,0,0
3.3399999999999996e-09,0,0,0,0
3.35e-09,0,0,0,0
3.36e-09,0,0,0,0
3.3699999999999997e-09,0,0,0,0
3.38e-09,0,0,0,0
3.3899999999999997e-09,0,0,0,0
3.4e-09,0,0,0,0
3.4099999999999996e-09,0,0,0,0
3.4199999999999998e-09,0,0,0,0
3.43e-09,0,0,0,0
3.4399999999999997e-09,0,0,0,0
3.45e-09,0,0,0,0
3.4599999999999996e-09,0,0,0,0
3.47e-09,0,0,0,0
3.48e-09,0,0,0,0
3.4899999999999997e-09,0,0,0,0
3.5e-09,0,0,0,0
3.5099999999999997e-09,0,0,0,0
3.52e-09,0,0,0,0
3.5299999999999996e-09,0,0,0,0
3.5399999999999998e-09,0,0,0,0
3.55e-09,0,0,0,0
3.5599999999999997e-09,0,0,0,0
3.57e-09,0,0,0,0
3.5799999999999996e-09,0,0,0,0
3.59e-09,0,0,0,0
3.6e-09,0,0,0,0
3.6099999999999997e-09,0,0,0,0
3.62e-09,0,0,0,0
3.6299999999999997e-09,0,0,0,0
3.64e-09,0,0,0,0
3.6499999999999996e-09,0,0,0,0
3.6599999999999998e-09,0,0,0,0
3.67e-09,0,0,0,0
3.6799999999999997e-09,0,0,0,0
3.69e-09,0,0,0,0
3.6999999999999996e-09,0,0,0,0
3.71e-09,0,0,0,0
3.72e-09,0,0,0,0
3.73e-09,0,0,0,0
3.74e-09,0,0,0,0
3.75e-09,0,0,0,0
3.7599999999999994e-09,0,0,0,0
3.77e-09,0,0,0,0
3.78e-09,0,0,0,0
3.7899999999999995e-09,0,0,0,0
3.8e-09,0,0,0,0
3.81e-09,0,0,0,0
3.82e-09,0,0,0,0
3.829999999999999e-09,0,0,0,0
3.84e-09,0,0,0,0
